Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and country
-141,,Estratovolcán,False,False,Etna (Italy)
1262,3,Volcán subglacial,False,False,Katla (Iceland)
1300,4,Estratovolcán,False,False,Hekla (Iceland)
1331,2,Caldera,False,False,Aso (Japan)
1714,,Volcán complejo,True,False,Vesuvius (Italy)
1907,,Volcán en escudo,True,False,Savai'i (Samoa)
1911,2,Volcán complejo,False,False,Asama (Japan)
1913,4,Estratovolcán,False,False,Colima (Mexico)
1944,3,Estratovolcán,False,False,Cleveland (United States)
1952,2,Volcán submarino,True,False,Myojun Knoll (Japan)
1960,3,Estratovolcán,True,True,Puyehue (Chile)
1971,2,Estratovolcán,False,False,La Palma (Spain)
1972,1,Estratovolcán,True,False,Ritter Island (Papua New Guinea)
1979,3,Estratovolcán,False,False,Soufriere St. Vincent (St. Vincent & the Grenadines)
1983,3,Estratovolcán,False,True,Miyake-jima (Japan)
1984,3,Estratovolcán,False,False,Etna (Italy)
1990,2,Caldera,False,False,Aso (Japan)
1991,2,Estratovolcán,False,False,Etna (Italy)
1994,3,Estratovolcán,False,False,Semeru (Indonesia)
2007,,Estratovolcán,False,False,Salak (Indonesia)
2017,2,Estratovolcán,False,False,Fuego (Guatemala)
2017,,Volcán en escudo,False,False,Aoba (Vanuatu)
2018,3,Volcán en escudo,False,False,Aoba (Vanuatu)
2019,2,Estratovolcán,True,False,Stromboli (Italy)
1593,5,Estratovolcán,False,False,Raung (Indonesia)
1609,,Cono piroclástico,False,False,Tengchong (China)
1692,4,Estratovolcán,False,False,Serua (Pacific Ocean)
1718,2,Estratovolcán,False,False,Pico (Portugal)
1846,,Caldera,False,False,Taupo (New Zealand)
1866,2,Volcán en escudo,False,False,Santorini (Greece)
1877,0,Volcán en escudo,True,True,Mauna Loa (United States)
1883,3,Cono de lava,False,False,Bagana (Papua New Guinea)
1886,4,Volcán en escudo,False,False,Niuafo'ou (Tonga)
1896,2,Volcán en escudo,False,False,Kirishima (Japan)
1902,4,Estratovolcán,True,False,Pelee (Martinique)
1914,,Volcán en escudo,False,False,Aoba (Vanuatu)
1923,1,Estratovolcán,False,False,Papandayan (Indonesia)
1928,2,Volcán en escudo,False,False,Santorini (Greece)
1947,,Estratovolcán,False,False,Akagi (Japan)
1963,5,Estratovolcán,True,False,Agung (Indonesia)
1963,2,Estratovolcán,False,False,Semeru (Indonesia)
1965,4,Estratovolcán,True,False,Taal (Philippines)
1973,3,Volcán submarino,False,False,Vestmannaeyjar (Iceland)
1974,3,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
1975,0,Volcán en escudo,True,True,Kilauea (United States)
1982,5,Cono de toba,False,False,"Chichon, El (Mexico)"
1986,3,Maar,False,False,Oku Volc Field (Cameroon)
1992,3,Estratovolcán,False,False,Semeru (Indonesia)
1994,3,Estratovolcán,False,False,Yasur (Vanuatu)
1998,,Estratovolcán,False,False,San Cristobal (Nicaragua)
2004,2,Estratovolcán,False,False,Tengger Caldera (Indonesia)
2007,,Estratovolcán,False,False,Huila (Colombia)
2008,,Caldera,False,False,Chaiten (Chile)
2008,3,Estratovolcán,True,False,Kasatochi (United States)
2017,,Estratovolcán,False,False,Merapi (Indonesia)
-4050,6,Caldera,False,False,Masaya (Nicaragua)
-2420,5,Volcán complejo,False,False,Vesuvius (Italy)
79,5,Volcán complejo,True,True,Vesuvius (Italy)
1375,5,Cono de toba,False,False,"Chichon, El (Mexico)"
1376,3,Estratovolcán,False,False,Kelut (Indonesia)
1538,3,Caldera,False,False,Campi Flegrei (Italy)
1664,2,Volcán complejo,False,False,Unzen (Japan)
1698,3,Estratovolcán,False,False,Cotopaxi (Ecuador)
1775,3,Estratovolcán,False,False,Gamalama (Indonesia)
1800,2,Estratovolcán,False,False,Mayon (Philippines)
1822,4,Estratovolcán,False,False,Usu (Japan)
1822,5,Estratovolcán,False,False,Galunggung (Indonesia)
1840,2,Estratovolcán,True,False,Gamalama (Indonesia)
1874,3,Estratovolcán,False,False,Miyake-jima (Japan)
1911,,Volcán de lodo,True,False,Piparo (Trinidad)
1911,3,Estratovolcán,False,False,Semeru (Indonesia)
1916,3,Estratovolcán,True,False,Stromboli (Italy)
1928,2,Volcán complejo,False,False,Dieng Volc Complex (Indonesia)
1933,2,Estratovolcán,True,False,Bulusan (Philippines)
1944,2,Estratovolcán,False,False,Usu (Japan)
1953,,Estratovolcán,False,False,Ruapehu (New Zealand)
1966,4,Estratovolcán,False,False,Kelut (Indonesia)
1966,4,Estratovolcán,False,False,"Lengai, Ol Doinyo (Tanzania)"
1969,,Caldera,False,False,Narugo (Japan)
1971,3,Estratovolcán,False,False,"Hudson, Cerro (Chile)"
1973,2,Volcán complejo,False,False,Iliwerung (Indonesia)
1979,2,Estratovolcán,False,False,Karkar (Papua New Guinea)
1981,2,Estratovolcán,False,False,Etna (Italy)
1982,5,Cono de toba,False,True,"Chichon, El (Mexico)"
1993,2,Volcán complejo,False,False,Galeras (Colombia)
2002,3,Estratovolcán,False,True,Etna (Italy)
2008,,Estratovolcán,False,False,Huila (Colombia)
2011,4,Estratovolcán,False,False,Puyehue (Chile)
2013,,Cúpula de lava,False,False,Okataina (New Zealand)
2014,3,Volcán complejo,False,False,On-take (Japan)
2014,,Estratovolcán,False,False,Gamalama (Indonesia)
2018,,Estratovolcán,False,False,Mayon (Philippines)
2018,4,Estratovolcán,False,False,Manam (Papua New Guinea)
200,,Campo volcánico,False,False,"Arhab, Harra of (Yemen)"
640,2,Campo volcánico,False,False,"Uwayrid, Harrat (Saudi Arabia)"
1169,,Estratovolcán,True,False,Etna (Italy)
1600,6,Estratovolcán,False,True,Huaynaputina (Peru)
1629,2,Caldera,False,False,Grimsvotn (Iceland)
1717,3,Estratovolcán,False,False,Bardarbunga (Iceland)
1778,4,Estratovolcán,False,False,Raikoke (Russia)
1789,2,Estratovolcán,False,False,Oshima (Japan)
1805,2,Volcán complejo,False,False,Vesuvius (Italy)
1829,2,Volcán complejo,False,False,Guntur (Indonesia)
1837,,Volcán complejo,True,True,Peuet Sague (Indonesia)
1853,2,Volcán submarino,True,False,Unnamed (Taiwan)
1854,2,Caldera,False,False,Aso (Japan)
1860,2,Estratovolcán,False,False,Semeru (Indonesia)
1871,2,Estratovolcán,True,True,Camiguin (Philippines)
1875,5,Estratovolcán,False,False,Askja (Iceland)
1886,4,Estratovolcán,False,False,Tungurahua (Ecuador)
1886,2,Cúpula de lava,False,False,Okataina (New Zealand)
1893,4,Estratovolcán,False,False,Calbuco (Chile)
1951,3,Estratovolcán,False,False,Camiguin (Philippines)
1953,2,Volcán submarino,True,False,Myojun Knoll (Japan)
1957,,Volcán complejo,False,False,Unzen (Japan)
1981,3,Estratovolcán,False,False,Semeru (Indonesia)
1993,,Estratovolcán,False,False,Wurlali (Indonesia)
1993,1,Estratovolcán,False,False,Pinatubo (Philippines)
1996,2,Estratovolcán,False,False,Kanlaon (Philippines)
2013,,Estratovolcán,False,False,Mayon (Philippines)
2017,,Estratovolcán,False,False,Etna (Italy)
2017,,Volcán complejo,False,False,Dieng Volc Complex (Indonesia)
-1750,6,Estratovolcán,False,False,Veniaminof (United States)
847,6,Estratovolcán,False,False,Bona-Churchill (United States)
930,6,Estratovolcán,False,False,Ceboruco (Mexico)
1158,4,Estratovolcán,False,False,Hekla (Iceland)
1329,1,Estratovolcán,False,False,Etna (Italy)
1510,4,Estratovolcán,False,False,Hekla (Iceland)
1615,3,Caldera,False,False,Banda Api (Pacific Ocean)
1617,3,Estratovolcán,False,False,Fuego (Guatemala)
1646,4,Estratovolcán,False,False,Makian (Indonesia)
1677,2,Estratovolcán,False,False,La Palma (Spain)
1784,0,Volcán en escudo,False,False,Hualalai (United States)
1800,5,Estratovolcán,False,False,St. Helens (United States)
1820,2,Caldera,False,False,Banda Api (Pacific Ocean)
1827,2,Estratovolcán,True,True,Avachinsky (Russia)
1843,2,Estratovolcán,False,False,Etna (Italy)
1847,2,Volcán complejo,False,False,Dieng Volc Complex (Indonesia)
1857,,Volcán complejo,True,True,Umboi (Papua New Guinea)
1866,2,Volcán en escudo,True,False,Ofu-Olosega (United States)
1870,2,Estratovolcán,False,False,Ruang (Indonesia)
1870,3,Volcán complejo,False,False,Iliwerung (Indonesia)
1885,3,Estratovolcán,False,True,Purace (Colombia)
1897,2,Estratovolcán,True,False,Tinakula (Solomon Is.)
1902,4,Estratovolcán,True,False,Soufriere St. Vincent (St. Vincent & the Grenadines)
1903,,Volcán en escudo,False,False,Karthala (Comoros)
1932,3,Estratovolcán,False,False,Kusatsu-Shirane (Japan)
1951,2,Volcán submarino,True,False,Kavachi (Solomon Is.)
1971,,Estratovolcán,False,False,Kusatsu-Shirane (Japan)
1991,1,Estratovolcán,False,False,Lokon-Empung (Indonesia)
1995,3,Volcán complejo,False,False,Pacaya (Guatemala)
1998,,Volcán en escudo,False,False,Kilauea (United States)
1999,2,Estratovolcán,False,False,Fuego (Guatemala)
2011,3,Estratovolcán,False,False,Gamalama (Indonesia)
2017,,Estratovolcán,False,False,Sinabung (Indonesia)
-3550,6,Estratovolcán,False,False,Pinatubo (Philippines)
1050,,Volcán en escudo,True,False,Santorini (Greece)
1177,3,Volcán subglacial,False,False,Katla (Iceland)
1595,4,Estratovolcán,False,False,Ruiz (Colombia)
1598,3,Caldera,False,False,Banda Api (Pacific Ocean)
1638,4,Estratovolcán,False,False,Raung (Indonesia)
1659,3,Estratovolcán,False,True,San Salvador (El Salvador)
1684,2,Caldera,False,False,Grimsvotn (Iceland)
1693,4,Estratovolcán,True,False,Hekla (Iceland)
1694,3,Caldera,False,False,Banda Api (Pacific Ocean)
1794,3,Volcán complejo,False,False,Vesuvius (Italy)
1800,1,Fisura volcánica,False,False,San Jorge (Portugal)
1816,2,Caldera,False,False,Aso (Japan)
1817,2,Estratovolcán,False,False,Ijen (Indonesia)
1825,,Estratovolcán,False,False,Balbi (Papua New Guinea)
1846,1,Estratovolcán,False,False,E-san (Japan)
1875,,Estratovolcán,False,False,Mayon (Philippines)
1889,2,Volcán submarino,True,True,Banua Wuhu (Indonesia)
1912,6,Caldera,False,False,Novarupta (United States)
1953,,Volcán complejo,False,False,Hakone (Japan)
1961,,Estratovolcán,False,False,Daisetsu (Japan)
1964,1,Volcán complejo,False,False,Dieng Volc Complex (Indonesia)
1965,0,Volcán submarino,True,False,Kick-'em-Jenny (Netherlands)
1971,2,Estratovolcán,True,False,Tinakula (Solomon Is.)
1976,2,Estratovolcán,False,False,Semeru (Indonesia)
1976,2,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
1978,3,Estratovolcán,False,False,Santa Maria (Guatemala)
1983,2,Estratovolcán,False,False,Kliuchevskoi (Russia)
1986,3,Estratovolcán,False,False,Oshima (Japan)
1992,2,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
2002,3,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
2013,3,Estratovolcán,False,False,Paluweh (Indonesia)
2013,2,Estratovolcán,False,False,Sinabung (Indonesia)
2017,2,Estratovolcán,False,False,Sinabung (Indonesia)
2018,1,Caldera,True,False,Krakatau (Indonesia)
2019,,Estratovolcán,False,False,Ulawun (Papua New Guinea)
920,4,Volcán subglacial,False,False,Katla (Iceland)
1104,5,Estratovolcán,False,False,Hekla (Iceland)
1151,1,Hileras de cráter,False,False,Krisuvik (Iceland)
1206,2,Estratovolcán,False,False,Hekla (Iceland)
1329,3,Estratovolcán,True,True,Etna (Italy)
1485,2,Caldera,False,False,Aso (Japan)
1550,3,Volcán complejo,False,False,Dukono (Indonesia)
1576,3,Estratovolcán,False,False,Colima (Mexico)
1580,4,Volcán subglacial,False,False,Katla (Iceland)
1598,2,Volcán complejo,False,False,Asama (Japan)
1730,2,Fisura volcánica,False,False,Lanzarote (Spain)
1772,3,Estratovolcán,False,False,Papandayan (Indonesia)
1781,4,Estratovolcán,True,False,Sakura-jima (Japan)
1826,2,Caldera,False,False,Aso (Japan)
1840,0,Volcán en escudo,True,False,Kilauea (United States)
1840,3,Estratovolcán,False,False,Savo (Solomon Is.)
1850,2,Escudo piroclástico,False,False,Rabaul (Papua New Guinea)
1858,,Estratovolcán,False,False,Tate-yama (Japan)
1883,2,Volcán en escudo,False,False,Karthala (Comoros)
1887,3,Estratovolcán,False,False,Mayon (Philippines)
1890,2,Estratovolcán,False,False,Makian (Indonesia)
1902,4,Estratovolcán,True,False,Pelee (Martinique)
1902,6,Estratovolcán,False,False,Santa Maria (Guatemala)
1936,3,Volcán complejo,False,False,Asama (Japan)
1937,2,Estratovolcán,False,False,Llaima (Chile)
1943,3,Volcán en escudo,False,False,"Azul, Cerro (Ecuador)"
1951,4,Estratovolcán,False,False,Lamington (Papua New Guinea)
1970,,Caldera,False,False,Campi Flegrei (Italy)
1981,3,Estratovolcán,False,False,Semeru (Indonesia)
1983,1,Volcán complejo,True,False,Iliwerung (Indonesia)
1985,1,Estratovolcán,False,False,Etna (Italy)
1990,3,Estratovolcán,False,False,Sabancaya (Peru)
1990,,Estratovolcán,False,False,"Nyiragongo (Congo, DRC)"
1997,3,Estratovolcán,False,False,Semeru (Indonesia)
1999,3,Estratovolcán,True,False,Soufriere Hills (Montserrat)
2000,2,Estratovolcán,False,False,Merapi (Indonesia)
-1860,6,Estratovolcán,False,False,St. Helens (United States)
230,6,Caldera,False,False,Taupo (New Zealand)
1169,,Estratovolcán,True,True,Etna (Italy)
1566,3,Volcán en escudo,False,False,Kirishima (Japan)
1597,4,Estratovolcán,False,False,Hekla (Iceland)
1640,3,Estratovolcán,False,False,Tungurahua (Ecuador)
1650,4,Volcán en escudo,True,False,Santorini (Greece)
1660,4,Volcán subglacial,False,False,Katla (Iceland)
1672,3,Estratovolcán,False,False,Merapi (Indonesia)
1679,,Volcán en escudo,False,True,Zukur (Yemen)
1717,3,Volcán en escudo,False,False,Kirishima (Japan)
1741,4,Estratovolcán,True,False,Oshima-Oshima (Japan)
1753,2,Caldera,False,False,Grimsvotn (Iceland)
1780,4,Estratovolcán,True,False,Sakura-jima (Japan)
1817,4,Estratovolcán,False,False,Raung (Indonesia)
1833,2,Estratovolcán,False,False,Kaba (Indonesia)
1841,2,Estratovolcán,False,False,Kuchinoerabu-jima (Japan)
1843,0,Estratovolcán,True,False,Liamuiga (St. Kitts & Nevis)
1871,2,Estratovolcán,True,False,Ruang (Indonesia)
1899,2,Estratovolcán,False,False,Manam (Papua New Guinea)
1900,2,Volcán en escudo,False,False,Kirishima (Japan)
1928,3,Estratovolcán,False,False,Mayon (Philippines)
1937,4,Escudo piroclástico,True,True,Rabaul (Papua New Guinea)
1946,2,Estratovolcán,False,False,Sakura-jima (Japan)
1953,0,Volcán complejo,True,False,St. Andrew Strait (Papua New Guinea)
1976,3,Estratovolcán,False,False,Sangay (Ecuador)
1977,3,Estratovolcán,False,False,Kliuchevskoi (Russia)
1981,,Estratovolcán,False,False,Mayon (Philippines)
1992,1,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
1994,3,Escudo piroclástico,True,False,Rabaul (Papua New Guinea)
1997,2,Estratovolcán,False,False,Merapi (Indonesia)
2005,4,Estratovolcán,False,False,Manam (Papua New Guinea)
2006,,Estratovolcán,False,False,Raoul Island (New Zealand)
2014,,Estratovolcán,False,False,Fogo (Cape Verde)
2015,2,Estratovolcán,False,False,Manam (Papua New Guinea)
-1900,6,Estratovolcán,False,False,Black Peak (United States)
1477,6,Estratovolcán,False,False,Bardarbunga (Iceland)
1597,3,Estratovolcán,False,False,Raung (Indonesia)
1673,5,Estratovolcán,True,False,Gamkonora (Indonesia)
1754,4,Estratovolcán,True,True,Taal (Philippines)
1768,4,Estratovolcán,False,False,Cotopaxi (Ecuador)
1792,2,Volcán complejo,True,True,Unzen (Japan)
1814,4,Estratovolcán,False,False,Mayon (Philippines)
1815,7,Estratovolcán,True,False,Tambora (Indonesia)
1818,4,Estratovolcán,False,False,Colima (Mexico)
1854,3,Estratovolcán,True,False,Alaid (Russia)
1863,,Estratovolcán,True,True,Yasur (Vanuatu)
1872,4,Estratovolcán,False,False,Merapi (Indonesia)
1884,,Caldera,True,False,Krakatau (Indonesia)
1888,3,Estratovolcán,True,False,Ritter Island (Papua New Guinea)
1888,4,Estratovolcán,False,False,Bandai (Japan)
1913,2,Estratovolcán,False,False,Semeru (Indonesia)
1916,4,Estratovolcán,False,False,Tungurahua (Ecuador)
1920,3,Estratovolcán,False,False,Merapi (Indonesia)
1946,2,Estratovolcán,False,False,Semeru (Indonesia)
1948,2,Volcán complejo,False,False,Iliwerung (Indonesia)
1950,3,Estratovolcán,False,False,Camiguin (Philippines)
1950,2,Volcán complejo,False,False,Asama (Japan)
1951,,Estratovolcán,True,True,Cosiguina (Nicaragua)
1956,5,Estratovolcán,True,False,Bezymianny (Russia)
1958,2,Caldera,True,False,Kuwae (Vanuatu)
1967,3,Estratovolcán,False,False,Semeru (Indonesia)
1974,3,Estratovolcán,False,False,Sakura-jima (Japan)
1979,1,Volcán complejo,False,False,Dieng Volc Complex (Indonesia)
1984,3,Estratovolcán,False,False,Mayon (Philippines)
1988,3,Caldera,False,False,Banda Api (Pacific Ocean)
1993,1,Caldera,False,False,Krakatau (Indonesia)
1996,2,Estratovolcán,True,False,Karymsky (Russia)
1997,,Estratovolcán,True,False,Soufriere Hills (Montserrat)
2006,2,Estratovolcán,False,False,Bulusan (Philippines)
2007,4,Estratovolcán,False,False,Manam (Papua New Guinea)
2007,,Estratovolcán,False,False,"Tair, Jebel at (Yemen)"
2011,,Volcán en escudo,False,False,Kirishima (Japan)
2012,,Volcán en escudo,False,False,Tolbachik (Russia)
2018,1,Volcán en escudo,True,True,Kilauea (United States)
2020,,Estratovolcán,True,True,Ijen (Indonesia)
-4360,6,Caldera,False,False,Macauley Island (New Zealand)
-4000,6,Caldera,False,False,Pago (Papua New Guinea)
-50,6,Escudo piroclástico,False,False,Apoyeque (Nicaragua)
46,3,Volcán en escudo,True,False,Santorini (Greece)
500,,Campo volcánico,False,False,"Arhab, Harra of (Yemen)"
787,3,Volcán complejo,False,False,Vesuvius (Italy)
1536,3,Estratovolcán,False,False,Etna (Italy)
1690,,Volcán complejo,True,False,Vesuvius (Italy)
1726,1,Estratovolcán,False,False,Bardarbunga (Iceland)
1730,3,Estratovolcán,False,False,Raung (Indonesia)
1742,3,Estratovolcán,False,False,Cotopaxi (Ecuador)
1749,3,Estratovolcán,True,True,Taal (Philippines)
1848,2,Estratovolcán,False,False,Kelut (Indonesia)
1861,3,Estratovolcán,False,True,Dubbi (Eritrea)
1892,2,Caldera,True,False,Tofua (Tonga)
1897,3,Estratovolcán,False,False,Mayon (Philippines)
1902,,Estratovolcán,True,False,Pelee (Martinique)
1912,3,Volcán en escudo,False,False,"Nyamuragira (Congo, DRC)"
1919,1,Estratovolcán,False,False,Popocatepetl (Mexico)
1919,,Volcán submarino,True,False,Banua Wuhu (Indonesia)
1923,2,Volcanes submarinos,True,True,"Cendres, Ile des (Vietnam)"
1929,2,Estratovolcán,False,False,Etna (Italy)
1939,2,Estratovolcán,False,False,Tori-shima (Japan)
1940,2,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
1947,2,Volcán complejo,False,False,Asama (Japan)
1957,2,Estratovolcán,False,False,Oshima (Japan)
1979,2,Caldera,False,False,Aso (Japan)
1980,,Estratovolcán,False,False,Hood (United States)
1989,,Volcán en escudo,False,False,Kirishima (Japan)
1994,1,Caldera,False,False,Aso (Japan)
2001,3,Estratovolcán,False,False,Etna (Italy)
2011,2,Estratovolcán,False,False,Bulusan (Philippines)
2014,,Estratovolcán,False,False,Kelut (Indonesia)
50,6,Escudo piroclástico,False,False,Ambrym (Vanuatu)
590,,Estratovolcán,False,False,San Salvador (El Salvador)
1302,,Volcán complejo,False,False,Ischia (Italy)
1568,3,Estratovolcán,False,False,Savo (Solomon Is.)
1570,,Estratovolcán,False,False,Mombacho (Nicaragua)
1663,5,Estratovolcán,False,False,Usu (Japan)
1693,,Estratovolcán,False,True,Etna (Italy)
1755,4,Volcán subglacial,False,False,Katla (Iceland)
1843,2,Estratovolcán,False,False,Lamongan (Indonesia)
1872,3,Volcán complejo,False,False,Vesuvius (Italy)
1878,2,Volcán en escudo,True,True,Okmok (United States)
1913,3,Escudo piroclástico,False,False,Ambrym (Vanuatu)
1949,2,Estratovolcán,False,False,Purace (Colombia)
1957,2,Caldera,False,False,Aso (Japan)
1963,3,Estratovolcán,False,False,Irazu (Costa Rica)
1971,3,Estratovolcán,False,False,Fuego (Guatemala)
1992,3,Cono de ceniza,False,False,"Negro, Cerro (Nicaragua)"
1997,,Estratovolcán,False,False,Hakkoda Group (Japan)
1997,,Estratovolcán,False,False,Adatara (Japan)
1997,,Caldera,False,False,Aso (Japan)
2004,1,Estratovolcán,False,False,Egon (Indonesia)
2013,,Estratovolcán,False,False,Paluweh (Indonesia)
2013,,Estratovolcán,False,False,Sakura-jima (Japan)
2015,,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
-1460,6,Caldera,False,False,Taupo (New Zealand)
1000,7,Estratovolcán,False,False,Changbaishan (North Korea)
1727,4,Estratovolcán,False,False,Oraefajokull (Iceland)
1826,3,Estratovolcán,False,False,Kelut (Indonesia)
1868,2,Volcán en escudo,True,True,Mauna Loa (United States)
1869,2,Estratovolcán,False,False,Lewotobi (Indonesia)
1895,2,Caldera,False,False,Dakataua (Papua New Guinea)
1900,2,Estratovolcán,False,False,Adatara (Japan)
1900,,Cono de piedra pómez,False,False,Tullu Moje (Ethiopia)
1902,2,Estratovolcán,False,False,Merapi (Indonesia)
1907,2,Estratovolcán,False,False,Lewotobi (Indonesia)
1913,2,Estratovolcán,True,True,Awu (Indonesia)
1930,3,Volcán complejo,False,False,Asama (Japan)
1932,,Estratovolcán,False,False,Merapi (Indonesia)
1938,1,Volcán en escudo,True,False,"Nyamuragira (Congo, DRC)"
1938,2,Estratovolcán,False,False,Mayon (Philippines)
1954,,Estratovolcán,False,False,Camiguin (Philippines)
1958,2,Estratovolcán,False,False,Mahawu (Indonesia)
1961,,Estratovolcán,False,False,Tate-yama (Japan)
1964,2,Estratovolcán,False,False,Paluweh (Indonesia)
1992,4,Estratovolcán,False,False,Spurr (United States)
1995,,Estratovolcán,False,False,Parker (Philippines)
1998,,Estratovolcán,False,False,Kelut (Indonesia)
2000,3,Estratovolcán,False,False,Arenal (Costa Rica)
2010,1,Volcán complejo,False,False,Pacaya (Guatemala)
2010,,Estratovolcán,False,False,Merapi (Indonesia)
2011,,Estratovolcán,False,False,Lokon-Empung (Indonesia)
2013,,Estratovolcán,False,False,Merapi (Indonesia)
2016,,Estratovolcán,False,False,Rinjani (Indonesia)
2018,,Volcán en escudo,False,False,Kilauea (United States)
1280,6,Caldera,False,False,Quilotoa (Ecuador)
1540,4,Cúpula de lava,True,False,Augustine (United States)
1660,6,Volcán complejo,True,False,Long Island (Papua New Guinea)
1858,,Estratovolcán,False,True,Tate-yama (Japan)
1864,2,Estratovolcán,False,False,Kelut (Indonesia)
1873,2,Estratovolcán,False,False,Ragang (Philippines)
1902,3,Estratovolcán,False,False,Tori-shima (Japan)
1907,2,Volcán en escudo,False,False,Alayta (Ethiopia)
1909,2,Estratovolcán,False,False,Semeru (Indonesia)
1919,4,Estratovolcán,False,False,Kelut (Indonesia)
1919,,Estratovolcán,False,False,Nasu (Japan)
1920,3,Estratovolcán,False,False,Izalco (El Salvador)
1938,,Estratovolcán,False,False,Bandai (Japan)
1949,3,Estratovolcán,False,False,Villarrica (Chile)
1963,3,Estratovolcán,False,False,Fuego (Guatemala)
1968,3,Estratovolcán,False,False,Mayon (Philippines)
1985,3,Estratovolcán,False,False,Semeru (Indonesia)
1992,2,Volcán complejo,False,False,Marapi (Indonesia)
2001,2,Estratovolcán,False,False,Stromboli (Italy)
2004,4,Estratovolcán,False,False,Manam (Papua New Guinea)
2010,,Estratovolcán,True,True,Sarigan (United States)
2018,2,Estratovolcán,False,True,Etna (Italy)
2020,,Estratovolcán,False,False,Taal (Philippines)
-3580,6,Estratovolcán,False,False,Taal (Philippines)
-2040,6,Volcán complejo,False,False,Long Island (Papua New Guinea)
653,6,Caldera,False,False,Dakataua (Papua New Guinea)
